session_id,bot,modelo,hardware,inicio,fim,ciclos,latencia_media_ms,latencia_p50_ms,latencia_p95_ms,latencia_dp_ms,ttft_medio_ms,ttft_p50_ms,tokens_s_medio,tokens_s_p50,tokens_entrada_medio,tokens_saida_medio,json_valido_pct,json_reparado_pct,acao_sucesso_pct,erro_llm_pct
7145e8bf-c9f1-4528-b540-e77c9ca6e913,almir,gemma3:1b,NVIDIA GeForce RTX 2050 / 16GB RAM,2026-07-11T13:40:21.552418+00:00,2026-07-11T14:00:29.282+00:00,187,2700.7,2443.0,3116.0,1850.5,2573.4,2341.0,51.72,52.55,1402.1,124.1,100.0,0.0,96.3,0.0
aba305c2-7fbb-4a9c-ba96-32530745bdf3,Bardo,granite4.1:3b,CPU only / 10GB RAM,2026-07-11T13:40:28.314913+00:00,2026-07-11T13:43:19.774+00:00,9,,,,,,,,,,,,,,100.0
ad447604-d352-4ce9-93ec-6cb8b1fec0d7,calegario,gemma4:12b,Apple M3 Pro / 18GB RAM,2026-07-11T13:42:50.587693+00:00,2026-07-11T13:49:44.746+00:00,16,19609.2,19239.7,21009.8,854.7,19429.1,19102.0,13.14,13.38,1107.4,256.0,0.0,0.0,,0.0
8cb2318e-2260-44e8-9689-0dcbc2ef002d,amarante,gemma3:4b,Apple M2 Pro / 16GB RAM,2026-07-11T13:47:49.479557+00:00,,94,4280.8,4216.6,4822.7,327.9,4176.8,4151.0,25.87,25.80,1258.6,108.2,100.0,0.0,89.4,0.0
97831186-1cfa-4c85-85e3-959bbaf70e38,Bardo,granite4.1:3b,CPU only / 10GB RAM,2026-07-11T13:50:14.945686+00:00,2026-07-11T14:03:42.641+00:00,29,24366.4,24321.5,31595.1,4239.4,24214.4,24052.0,5.52,5.53,1280.5,133.1,96.6,0.0,89.3,0.0
6201df94-01b7-4156-b6e9-8c284a6d8c49,calegario,gemma3:1b,Apple M3 Pro / 18GB RAM,2026-07-11T13:50:41.648676+00:00,2026-07-11T14:01:03.818+00:00,110,1849.9,1715.5,2176.9,1203.4,1700.3,1588.5,58.86,60.09,1353.9,94.3,90.9,5.5,95.0,0.0
199412e4-3929-41f3-b292-7c82f2e03995,Onurb,qwen3.5:2b,Intel(R) Iris(R) Xe Graphics / 16GB RAM,2026-07-11T13:53:11.090611+00:00,2026-07-11T13:59:36.948+00:00,9,39250.6,40019.4,44881.4,5072.4,39185.0,40003.0,6.64,6.40,1190.1,256.0,0.0,0.0,,0.0
0d39a979-5bb2-4ec1-9864-47da4051cad7,gabimalu,qwen3.5:latest,CPU only / 7GB RAM,2026-07-11T13:57:08.418532+00:00,,15,,,,,,,,,,,,,,100.0
7bba23fd-b453-4df1-bd27-41936dedd018,erik,smollm2:135m,Intel(R) Iris(R) Xe Graphics / 8GB RAM,2026-07-11T13:57:33.326054+00:00,2026-07-11T13:57:56.269+00:00,2,,,,,,,,,,,,,,100.0
095de333-463b-4c15-84f5-20e1e5da4eaa,erik,smollm2:135m,Intel(R) Iris(R) Xe Graphics / 8GB RAM,2026-07-11T13:58:27.197574+00:00,2026-07-11T13:59:50.491+00:00,8,,,,,,,,,,,,,,100.0
baaf154e-cb85-4808-bed3-6096137471bc,flip,pdevine/lfm2.5:8b-a1b-q4_K_M,CPU only / 18GB RAM,2026-07-11T13:59:15.466904+00:00,2026-07-11T14:00:01.157+00:00,1,56797.2,56797.2,56797.2,,56567.0,56567.0,4.53,4.53,1027.0,256.0,0.0,0.0,,0.0
db9ac855-c1cc-4dcc-b48e-7ca1cd9e64f3,negromonte,lfm2.5-thinking:latest,CPU only / 4GB RAM,2026-07-11T14:01:13.102526+00:00,2026-07-11T14:01:41.135+00:00,1,14476.3,14476.3,14476.3,,15100.0,15100.0,16.95,16.95,1065.0,256.0,0.0,0.0,,0.0
ee9367e0-33b4-4119-b56f-eb245d653281,negromonte,qwen3.5:0.8b,CPU only / 4GB RAM,2026-07-11T14:02:21.572373+00:00,2026-07-11T14:03:02.879+00:00,1,36807.3,36807.3,36807.3,,38331.0,38331.0,6.68,6.68,955.0,256.0,0.0,0.0,,0.0
